物理学的に考えられた地球の理想的な形。平均海水面にほぼ一致する重力の点を結んでできる地球全体の面のことで、回転楕円体に近いが最大約一〇〇メートルの凹凸がある。標高の基準面。,ジオイド,,地学
地表での重力の実測値と地球を回転楕円体（ジオイド）とした時の重力の理論値（緯度Φの関数）との差の総称。この差は，地球の形が厳密な回転楕円体ではないこと，測定地点の高度，地殻構造の不均一さなどによって生ずる。,重力異常,,地学
重力異常の中でも、海抜hmまでの地点に空気しかないと仮定して高度補正を行った実測重力と標準重力との差のこと。補正できていない地下の質量が反映されるので、これが正の値であるなら、アイソスタシーは成り立っておらず、地殻が浮き過ぎていることを示す。,フリーエア異常,,地学
重力異常の中でも、海抜hmまでの地点に平均的な岩石が存在しているとして高度補正を行った実測重力と標準重力との差のこと。これが正の値ならば、地下の質量が平均より大きいことになる。,ブーゲー異常,,地学
地軸を中心として、地球の周囲をドーナツ状に二重に取り巻く放射線強度の大きな領域。太陽風や宇宙線からの粒子が地球の磁場に捕らわれて形成されると考えられている。地磁気の磁力線沿いに運動しており、北極や南極では磁力線に導かれ、進入してきた粒子と大気が相互作用を引き起こすことによってオーロラが発生する。,ヴァンアレン帯,,地学
地磁気の原因に関する最も有力な学説。地球の外核をなす鉄などからなる流体の対流運動による発電作用で電流が誘起され、磁場が生じるというもの。,ダイナモ理論,,地学
地震学用語。観測点から震源上の地表点までの地表に沿った距離 (震央距離) を横軸に、地震波が震源から観測点に達する時間 を縦軸に記した曲線をいう。震央距離が大きくなると、モホロビチッチ不連続面の影響により直接波ではなく屈折波の方が先に届く（地殻内よりもマントル内の方が波が伝わりやすい）ので、グラフは折れ曲がったような形になる。,走時曲線,,地学
地震の震度分布において、震央から遠く離れているのに強い揺れが伝わる現象、またはその地域。通常、地震の揺れは震央付近で最も強く、離れるにつれて弱くなる。しかし、震源が深い場合は震央付近に至るまでに揺れが弱まり、地震波が伝わりやすい硬い海洋プレートに近い地域では揺れが強まることから、こうした現象が起こりやすいとされる。,異常震域,,地学
プレート境界や活断層などの断層面上で、通常は強く固着していて、ある時に急激にずれて（すべって）地震波を出す領域のうち、周囲に比べて特にすべり量が大きい領域のこと。,アスペリティ,,地学
蛇行河道の凸岸側に発達する蛇行州のこと。,ポイントバー,,地学
基盤の岩石、地層または鉱床が地表に露出している部分。,露頭,,地学
地層の層理面や断層面などの面と水平面との交線の方向。,走向,,地学
地質調査に使う簡易測量器具。傾斜儀ともいう。東と西が逆になっている。,クリノメーター,,地学
海洋プレートが海溝で大陸プレートの下に沈み込むとき，海洋プレートを構成していた地殻や海底堆積物がはぎ取られ，陸側にくっついてできた地質体。日本を構成する美濃・丹波帯や四万十帯など。,付加体,,地学
濁流によって堆積したと考えられる堆積物。南九州日南海岸青島の〈鬼の洗濯板〉などが知られる。,タービダイト,,地学
上限をルーフ衝上断層、下限をフロアー衝上断層で境され、その中で地層が瓦を斜めに重ねたように、小規模な衝上断層によって次々と重なっている構造のこと。この名称は、北アメリカの2階建ての集合住宅に由来する。屋根（ルーフroof）と床（フロアーfloor）があり、部屋（地層）が二つ重なっていることから地質用語に転用された。,デュープレックス,,地学
褶曲や衝上運動などで地層が変形するとき、地層面にほぼ平行なすべり面が生じ、すべり面の上下で構造様態が異なる現象、またはそのすべり面のこと。,デコルマン（デコルマ）,,地学
地殻運動によってできた大規模な断層線。隣り合う二つの地質構造は著しく異なる。東北日本と西南日本を区分するフォッサ‐マグナや西南日本を内帯と外帯に分ける断層線など。,構造線,,地学
海洋において、生物が担う海面から海底への炭素輸送のこと。海面付近で光合成をする植物プランクトン、またはそれらを捕食する動物プランクトンが、自身の遺骸や糞ふんとして沈降し、炭素を含む有機物が海底に輸送されることを指す。,生物ポンプ,,地学
